Time[s],"X (HR=10%)",Time[s],"X (HR=20%)",Time[s],"X (HR=30%)",Time[s],"X (HR=40%)"
,,,,38931,0.0375953565505805,,
,,,,38991,0.03764510779436155,,
,,,,39051,0.03757324488667777,,
,,,,39111,0.03758982863460479,,
,,,,39171,0.03761194029850752,,
,,,,39231,0.03758982863460479,,
,,,,39291,0.03760088446655609,,
,,,,39351,0.03762852404643454,,
,,,,39411,0.03762299613045882,,
,,,,39471,0.03760088446655609,,
,,,,39531,0.03757877280265348,,
,,,,39591,0.03755113322277504,,
,,,,39651,0.03755666113875075,,
,,,,39711,0.03758982863460479,,
,,,,39771,0.03757324488667777,,
,,,,39831,0.037567716970702054,,
,,,,39891,0.037606412382531804,,
,,,,39951,0.037606412382531804,,
,,,,40011,0.0375953565505805,,
,,,,40071,0.037584300718629074,,
,,,,40131,0.03757324488667777,,
,,,,40191,0.03752902155887231,,
,,,,40251,0.037567716970702054,,
,,,,40311,0.03754007739082374,,
,,,,40371,0.03753454947484802,,
,,,,40431,0.03760088446655609,,
,,,,40491,0.03753454947484802,,
,,,,40551,0.037517965726921,,
,,,,40611,0.037517965726921,,
,,,,40671,0.037567716970702054,,
,,,,40731,0.03753454947484802,,
,,,,40791,0.03752902155887231,,
,,,,40851,0.03755666113875075,,
,,,,40911,0.03752349364289672,,
,,,,40971,0.03752902155887231,,
,,,,41031,0.03755113322277504,,
,,,,41095,0.03744057490326151,,
,,,,41151,0.037562189054726344,,
,,,,41211,0.03753454947484802,,
,,,,41271,0.03752349364289672,,
,,,,41331,0.037545605306799325,,
,,,,41391,0.03749032614704256,,
,,,,41451,0.037567716970702054,,
,,,,41511,0.03752902155887231,,
,,,,41571,0.03753454947484802,,
,,,,41631,0.03748479823106697,,
,,,,41691,0.03752349364289672,,
,,,,41751,0.03749032614704256,,
,,,,41811,0.03750138197899399,,
,,,,41871,0.03749585406301827,,
,,,,41931,0.03750138197899399,,
,,,,41991,0.037435046987285794,,
,,,,42051,0.037506909894969576,,
,,,,42111,0.037473742399115544,,
,,,,42171,0.03750138197899399,,
,,,,42231,0.037473742399115544,,
,,,,42291,0.03750138197899399,,
,,,,42351,0.037457158651188524,,
,,,,42411,0.03749032614704256,,
,,,,42471,0.037473742399115544,,
,,,,42531,0.03748479823106697,,
,,,,42591,0.03751243781094529,,
,,,,42651,0.03749032614704256,,
,,,,42711,0.03749032614704256,,
,,,,42771,0.03744610281923722,,
,,,,42831,0.03748479823106697,,
,,,,42891,0.03747927031509126,,
,,,,42951,0.03739082365948046,,
,,,,43011,0.037435046987285794,,
,,,,43071,0.03747927031509126,,
,,,,43131,0.03744057490326151,,
,,,,43191,0.03740740740740747,,
,,,,43251,0.037473742399115544,,
,,,,43311,0.037451630735212814,,
,,,,43371,0.03744610281923722,,
,,,,43431,0.03744057490326151,,
,,,,43491,0.03742399115533449,,
,,,,43551,0.037473742399115544,,
,,,,43611,0.037473742399115544,,
,,,,43671,0.03746821448313983,,
,,,,43731,0.037435046987285794,,
,,,,43791,0.037396351575456045,,
,,,,43851,0.037412935323383065,,
,,,,43911,0.0374295190713102,,
,,,,43971,0.03744610281923722,,
,,,,44031,0.03739082365948046,,
,,,,44091,0.03737976782752903,,
,,,,44151,0.0374295190713102,,
,,,,44211,0.03739082365948046,,
,,,,44271,0.03742399115533449,,
,,,,44331,0.037435046987285794,,
,,,,44391,0.03740740740740747,,
,,,,44451,0.03739082365948046,,
,,,,44511,0.037412935323383065,,
,,,,44571,0.03741846323935878,,
,,,,44631,0.0374295190713102,,
,,,,44691,0.03740740740740747,,
,,,,44751,0.03740740740740747,,
,,,,44811,0.03740187949143176,,
,,,,44871,0.037357656163626296,,
,,,,44931,0.03736871199557772,,
,,,,44991,0.03737976782752903,,
,,,,45051,0.037374239911553316,,
,,,,45111,0.037357656163626296,,
,,,,45171,0.037357656163626296,,
,,,,45231,0.037396351575456045,,
,,,,45291,0.03731343283582096,,
,,,,45351,0.03741846323935878,,
,,,,45411,0.03736318407960201,,
,,,,45471,0.03728026533996692,,
,,,,45531,0.037307904919845244,,
,,,,45591,0.037346600331674994,,
,,,,45651,0.037374239911553316,,
,,,,45711,0.03739082365948046,,
,,,,45771,0.037346600331674994,,
,,,,45831,0.03736871199557772,,
,,,,45891,0.03729132117191823,,
,,,,45951,0.037357656163626296,,
,,,,46011,0.037318960751796554,,
,,,,46071,0.037341072415699283,,
,,,,46131,0.037357656163626296,,
,,,,46191,0.037318960751796554,,
,,,,46251,0.03733554449972369,,
,,,,46311,0.037324488667772264,,
,,,,46371,0.037346600331674994,,
,,,,46431,0.03733001658374798,,
,,,,46491,0.037318960751796554,,
,,,,46551,0.037307904919845244,,
,,,,46611,0.037307904919845244,,
,,,,46671,0.037318960751796554,,
,,,,46731,0.037263681592039785,,
,,,,46791,0.037346600331674994,,
,,,,46851,0.037318960751796554,,
,,,,46911,0.03729684908789394,,
,,,,46971,0.03729684908789394,,
,,,,47031,0.0372692095080155,,
,,,,47091,0.03727473742399121,,
,,,,47151,0.03729684908789394,,
,,,,47211,0.03729132117191823,,
,,,,47271,0.0372692095080155,,
,,,,47331,0.037247097844112766,,
,,,,47391,0.037324488667772264,,
,,,,47451,0.037324488667772264,,
,,,,47511,0.03728026533996692,,
,,,,47571,0.03727473742399121,,
,,,,47631,0.037247097844112766,,
,,,,47691,0.03725262576008848,,
,,,,47751,0.037285793255942515,,
,,,,47811,0.037247097844112766,,
,,,,47871,0.03725262576008848,,
,,,,47931,0.03727473742399121,,
,,,,47992,0.037285793255942515,,
,,,,48051,0.037247097844112766,,
,,,,48111,0.03725815367606419,,
,,,,48171,0.03725815367606419,,
,,,,48231,0.03727473742399121,,
,,,,48291,0.03723051409618575,,
,,,,48351,0.037247097844112766,,
,,,,48411,0.0372692095080155,,
,,,,48471,0.03723604201216146,,
,,,,48531,0.03718629076838041,,
,,,,48594,0.037247097844112766,,
,,,,48653,0.037213930348258734,,
,,,,48711,0.037247097844112766,,
,,,,48771,0.03714759535655066,,
,,,,48831,0.037224986180210036,,
,,,,48893,0.0371807628524047,,
,,,,48951,0.03723604201216146,,
